Region;State;Population;PopulationPrev
Київ;м. Київ;2868702;2611327
Харків;Харківська;1451132;1470902
Одеса;Одеська;1017022;1029049
Дніпро;Дніпропетровська;993094;1080846
Донецьк;Донецька;949825;1016194
Запоріжжя;Запорізька;766268;817882
Львів;Львівська;729038;732818
Кривий Ріг;Дніпропетровська;652137;709014
Миколаїв;Миколаївська;494922;514136
Маріуполь;Донецька;458533;492176
Луганськ;Луганська;424113;463097
Вінниця;Вінницька;372116;384840
Макіївка;Донецька;351820;389589
Севастополь;м. Севастополь;344853;342451
Сімферополь;Автономна Республіка Крим;338319;343644
Херсон;Херсонська;297593;328360
Полтава;Полтавська;295950;317998
Чернігів;Чернігівська;295670;304994
Черкаси;Черкаська;285170;295414
Житомир;Житомирська;270922;284236
Суми;Сумська;268874;293141
Хмельницький;Хмельницька;266095;253994
Чернівці;Чернівецька;262129;240621
Горлівка;Донецька;254416;292250
Рівне;Рівненська;249912;248813
Кам'янське;Дніпропетровська;241475;255841
Кропивницький;Кіровоградська;233333;254103
Івано-Франківськ;Івано-Франківська;227030;218359
Кременчук;Полтавська;225828;234073
Тернопіль;Тернопільська;217110;227755
Луцьк;Волинська;216076;208816
Біла Церква;Київська;211205;210128
Краматорськ;Донецька;162811;181025
Мелітополь;Запорізька;156889;160657
Керч;Автономна Республіка Крим;144626;157007
Нікополь;Дніпропетровська;117857;136280
Слов'янськ;Донецька;116694;124829
Ужгород;Закарпатська;115947;117317
Бердянськ;Запорізька;115500;121692
Алчевськ;Луганська;110474;119193
Павлоград;Дніпропетровська;109739;118816
Сєвєродонецьк;Луганська;108899;119940
Євпаторія;Автономна Республіка Крим;107040;105915
Лисичанськ;Луганська;103459;115229
Кам'янець-Подільський;Хмельницька;102254;99610
Бровари;Київська;98874;86839
Конотоп;Сумська;88477;92657
Умань;Черкаська;86621;88735
Мукачево;Закарпатська;85487;82346
Олександрія;Кіровоградська;82636;93357
Хрустальний;Луганська;82228;94875
Єнакієве;Донецька;81054;103997
Шостка;Сумська;78505;87130
Бердичів;Житомирська;78312;87575
Ялта;Автономна Республіка Крим;78200;81654
Бахмут;Донецька;77474;82916
Кадіївка;Луганська;77168;90152
Дрогобич;Львівська;76866;79119
Костянтинівка;Донецька;76065;95111
Ніжин;Чернігівська;72869;76625
Ізмаїл;Одеська;72501;84815
Новомосковськ;Дніпропетровська;71299;72439
Феодосія;Автономна Республіка Крим;69040;74669
Ковель;Волинська;69032;66401
Сміла;Черкаська;68740;69681
Червоноград;Львівська;67993;70568
Калуш;Івано-Франківська;67559;67902
Первомайськ;Миколаївська;66672;70170
Коростень;Житомирська;65454;66669
Довжанськ;Луганська;64895;72531
Покровськ;Донецька;64533;69154
Коломия;Івано-Франківська;61350;61989
Бориспіль;Київська;60160;53975
Рубіжне;Луганська;59951;65322
Чорноморськ;Одеська;59840;54151
Стрий;Львівська;59835;62479
Дружківка;Донецька;59596;64557
Харцизьк;Донецька;58641;64175
Прилуки;Чернігівська;58202;64861
Лозова;Харківська;57916;64041
Чистякове;Донецька;56993;72346
Новоград-Волинський;Житомирська;56049;56259
Енергодар;Запорізька;54536;56242
Антрацит;Луганська;54242;63698
Нововолинськ;Волинська;53298;53838
Горішні Плавні;Полтавська;51958;51740
Ізюм;Харківська;51175;56114
Шахтарськ;Донецька;50468;59589
Білгород-Дністровський;Одеська;50105;51890
Мирноград;Донецька;49519;54787
Охтирка;Сумська;48881;50399
Марганець;Дніпропетровська;48345;49592
Фастів;Київська;48098;51976
Сніжне;Донецька;48003;58496
Нова Каховка;Херсонська;47638;52137
Лубни;Полтавська;47397;52572
Ровеньки;Луганська;47370;53725
Жовті Води;Дніпропетровська;47284;53582
Брянка;Луганська;46830;54767
Світловодськ;Кіровоградська;46372;50094
Ірпінь;Київська;44023;40593
Сорокине;Луганська;44014;50560
Шепетівка;Хмельницька;43255;48212
Ромни;Сумська;41951;50448
Вараш;Рівненська;41560;38830
Покров;Дніпропетровська;41152;44834
Миргород;Полтавська;40876;42886
Подільськ;Одеська;40717;40718
Южноукраїнськ;Миколаївська;40378;38206
Володимир-Волинський;Волинська;38964;38256
Первомайськ;Луганська;38235;43082
Дубно;Рівненська;38087;39146
Вишневе;Київська;38011;34465
Каховка;Херсонська;37316;38238
Васильків;Київська;36888;39722
Нетішин;Хмельницька;36844;34358
Вознесенськ;Миколаївська;36192;42634
Славута;Хмельницька;35892;34340
Ясинувата;Донецька;35701;37552
Джанкой;Автономна Республіка Крим;35693;43343
Боярка;Київська;35558;35968
Жмеринка;Вінницька;35354;37349
Старокостянтинів;Хмельницька;35104;35206
Авдіївка;Донецька;35090;37210
Самбір;Львівська;34879;36556
Борислав;Львівська;34877;38122
Торецьк;Донецька;34750;43371
Глухів;Сумська;34282;35768
Обухів;Київська;33180;32776
Токмак;Запорізька;32772;36275
Чугуїв;Харківська;32379;36789
Могилів-Подільський;Вінницька;31832;32853
Южне;Одеська;31796;23977
Костопіль;Рівненська;31668;30467
Синельникове;Дніпропетровська;31576;32302
Первомайський;Харківська;30984;32523
