Country;Code;State;District;Region;Latin;RegionType;Latitude;Longitude;Population;Indexes
ua;0510100000;Вінницька;;Вінниця;Vinnytsya;city;49.232776;28.480968;352113;vinnytsya|vinnitsya
ua;0510300000;Вінницька;;Жмеринка;Zhmerynka;city;49.03705;28.112013;35960;zhmerynka|zhmerinka
ua;0510400000;Вінницька;;Могилів-Подільський;Mohyliv-Podilskyy;city;48.445983;27.798197;0;mohylivpodilskyy|mogilivpodilskiy
ua;0510490001;Вінницька;Могилів-Подільський;Одая;Odaya;settlement;48.585852;28.906874;0;odaya
ua;0510490003;Вінницька;Могилів-Подільський;Сонячне;Sonyachne;settlement;48.407769;28.832843;0;sonyachne
ua;0510500000;Вінницька;;Козятин;Kozyatyn;city;49.714312;28.833848;25645;kozyatyn|kozyatin
ua;0510541000;Вінницька;Козятин;Залізничне;Zaliznychne;urban_village;;;;zaliznychne|zaliznichne
ua;0510600000;Вінницька;;Ладижин;Ladyzhyn;city;48.684962;29.236785;21393;ladyzhyn|ladizhin
ua;0510690001;Вінницька;Ладижин;Губник;Hubnyk;settlement;48.617999;29.329954;0;hubnyk|gubnik
ua;0510690002;Вінницька;Ладижин;Лукашівка;Lukashivka;village;48.728218;28.17213;0;lukashivka|lukashovka
ua;0510690003;Вінницька;Ладижин;Ружицьке;Ruzhytske;settlement;;;;ruzhytske|ruzhitske
ua;0510900000;Вінницька;;Хмільник;Khmilnyk;city;49.555224;27.965751;0;khmilnyk|khmilnik
ua;0520210100;Вінницька;Барський;Бар;Bar;city;49.07717;27.682559;16641;bar
ua;0520255300;Вінницька;Барський;Копайгород;Kopayhorod;urban_village;48.859171;27.796901;1437;kopayhorod|kopaygorod
ua;0520255303;Вінницька;Барський;Копай;Kopay;settlement;;;;kopay
ua;0520255306;Вінницька;Барський;Переліски;Perelisky;village;;;;perelisky|pereliski
ua;0520255309;Вінницька;Барський;Українське;Ukrayinske;village;;;;ukrayinske
ua;0520255312;Вінницька;Барський;Шевченкове;Shevchenkove;village;;;;shevchenkove|shevchenkova
ua;0520255315;Вінницька;Барський;Шипинки;Shypynky;village;48.875664;27.787804;0;shypynky|shipinki
ua;0520280101;Вінницька;Барський;Антонівка;Antonivka;village;48.539394;28.4275;0;antonivka|antonovka
ua;0520280102;Вінницька;Барський;Глинянка;Hlynyanka;village;49.073507;27.784679;0;hlynyanka|glinyanka
ua;0520280105;Вінницька;Барський;Широке;Shyroke;village;;;;shyroke|shiroke
ua;0520280201;Вінницька;Барський;Балки;Balky;village;49.060686;27.678431;0;balky|balki
ua;0520280203;Вінницька;Барський;Адамівка;Adamivka;village;48.864324;29.509986;0;adamivka|adamovka
