Country;Code;State;District;Region;RegionType
ua;0510100000;Вінницька;;Вінниця;city
ua;0510300000;Вінницька;;Жмеринка;city
ua;0510400000;Вінницька;;Могилів-Подільський;city
ua;0510490001;Вінницька;Могилів-Подільський;Одая;settlement
ua;0510490003;Вінницька;Могилів-Подільський;Сонячне;settlement
ua;0510500000;Вінницька;;Козятин;city
ua;0510541000;Вінницька;Козятин;Залізничне;urban_village
ua;0510600000;Вінницька;;Ладижин;city
ua;0510690001;Вінницька;Ладижин;Губник;settlement
ua;0510690002;Вінницька;Ладижин;Лукашівка;village
ua;0510690003;Вінницька;Ладижин;Ружицьке;settlement
ua;0510900000;Вінницька;;Хмільник;city
ua;0520210100;Вінницька;Барський;Бар;city
ua;0520255300;Вінницька;Барський;Копайгород;urban_village
ua;0520255303;Вінницька;Барський;Копай;settlement
ua;0520255306;Вінницька;Барський;Переліски;village
ua;0520255309;Вінницька;Барський;Українське;village
ua;0520255312;Вінницька;Барський;Шевченкове;village
ua;0520255315;Вінницька;Барський;Шипинки;village
ua;0520280101;Вінницька;Барський;Антонівка;village
ua;0520280102;Вінницька;Барський;Глинянка;village
ua;0520280105;Вінницька;Барський;Широке;village
ua;0520280201;Вінницька;Барський;Балки;village
ua;0520280203;Вінницька;Барський;Адамівка;village
ua;0520280205;Вінницька;Барський;Йосипівці;village
ua;0520280207;Вінницька;Барський;Окладне;village
ua;0520280209;Вінницька;Барський;Чемериси-Барські;village
ua;0520280401;Вінницька;Барський;Верхівка;village
ua;0520280403;Вінницька;Барський;Примощаниця;village
ua;0520280601;Вінницька;Барський;Войнашівка;village
ua;0520280603;Вінницька;Барський;Бар;settlement
ua;0520280605;Вінницька;Барський;Заможне;village
ua;0520280607;Вінницька;Барський;Затоки;village
ua;0520280609;Вінницька;Барський;Каноницьке;village
ua;0520280611;Вінницька;Барський;Мирне;village
ua;0520280613;Вінницька;Барський;Міжлісся;village
ua;0520280615;Вінницька;Барський;Пляцина;village
ua;0520280801;Вінницька;Барський;Володіївці;village
ua;0520280803;Вінницька;Барський;Зелене;village
ua;0520280805;Вінницька;Барський;Мар'янівка;village
ua;0520281001;Вінницька;Барський;Гайове;village
ua;0520281003;Вінницька;Барський;Івановецьке;settlement
ua;0520281005;Вінницька;Барський;Колосівка;village
ua;0520281007;Вінницька;Барський;Котова;settlement
ua;0520281009;Вінницька;Барський;Шпирки;village
ua;0520281201;Вінницька;Барський;Гармаки;village
ua;0520281203;Вінницька;Барський;Діброва;settlement
ua;0520281401;Вінницька;Барський;Гулі;village
ua;0520281403;Вінницька;Барський;Слобода-Гулівська;village
ua;0520281603;Вінницька;Барський;Журавлівка;village
ua;0520281606;Вінницька;Барський;Буцні;village
ua;0520281609;Вінницька;Барський;Лядова;village
ua;0520281612;Вінницька;Барський;Пилипи;village
ua;0520281615;Вінницька;Барський;Сеферівка;village
ua;0520281801;Вінницька;Барський;Іванівці;village
ua;0520281812;Вінницька;Барський;Шевченка;village
ua;0520282003;Вінницька;Барський;Каришків;village
ua;0520282006;Вінницька;Барський;Грабівці;village
ua;0520282203;Вінницька;Барський;Комарівці;village
ua;0520282403;Вінницька;Барський;Кузьминці;village
ua;0520282406;Вінницька;Барський;Голубівка;village
ua;0520282409;Вінницька;Барський;Мартинівка;village
ua;0520282603;Вінницька;Барський;Лісове;village
ua;0520282606;Вінницька;Барський;Польове;village
ua;0520282803;Вінницька;Барський;Лука-Барська;village
ua;0520282806;Вінницька;Барський;Васютинці;village
ua;0520282809;Вінницька;Барський;Горяни;village
ua;0520282812;Вінницька;Барський;Зоряне;village
ua;0520282815;Вінницька;Барський;Квітка;village
ua;0520283003;Вінницька;Барський;Мальчівці;village
ua;0520283006;Вінницька;Барський;Степанки;village
ua;0520283203;Вінницька;Барський;Маньківці;village
ua;0520283206;Вінницька;Барський;Мельники;village
ua;0520283209;Вінницька;Барський;Улянівка;village
ua;0520283403;Вінницька;Барський;Матейків;village
ua;0520283406;Вінницька;Барський;Мурашка;village
ua;0520283409;Вінницька;Барський;Павлівка;village
ua;0520283412;Вінницька;Барський;Трудолюбівка;village
ua;0520283501;Вінницька;Барський;Мигалівці;village
